Dto_Barrio_Entero;Distrito_num;Barrio_num;Barrio_nom;TOTAL;Total_Europa;España;Italia;Francia;ReinoUnido;Rusia;Alemania;Rumanía;Portugal;Ucrania;Polonia;PaísesBajos;Bulgaria;Suecia;Bélgica;Irlanda;Grecia;Suiza;Hungría;Restopaíses_Europa;Total_Africa;Marruecos;Argelia;Senegal;Nigeria;Restopaíses_Africa;Total_America;Colombia;Honduras;Venezuela;Perú;Argentina;Bolivia;Brasil;Ecuador;RepúblicaDominicana;EstadosUnidosdeAmérica;México;Chile;Paraguay;Cuba;ElSalvador;Uruguay;Nicaragua;Restopaíses_America;Total_Asia;Pakistán;China;Filipinas;India;Bangladesh;Georgia;Armenia;Japón;Nepal;Turquía;Irán;Restopaíses_Asia;Oceanía;Apátridas/  Noconsta
9     59. el Bon Pastor;9;59;el Bon Pastor;13730;11138;10707;77;19;9;45;15;83;40;73;12;4;13;1;5;1;1;5;1;27;334;212;25;37;20;40;1388;251;386;101;124;27;48;119;122;3;55;7;9;36;13;44;9;18;16;868;452;141;9;69;22;78;70;2;7;1;8;9;2;0
9     60. Sant Andreu;9;60;Sant Andreu;58225;54002;52401;527;153;91;110;53;143;101;127;40;40;33;9;14;7;17;18;7;111;553;304;47;36;20;146;2583;358;371;352;345;134;101;152;170;43;113;64;36;100;73;59;48;33;31;1079;217;463;13;61;13;161;34;12;6;14;7;78;3;5
9     61. la Sagrera;9;61;la Sagrera;29568;26071;24932;420;72;31;120;53;113;64;90;34;16;23;8;14;9;7;11;4;50;219;144;13;15;5;42;2287;339;253;210;446;121;68;170;178;37;136;46;37;99;37;29;24;34;23;987;96;585;24;47;9;87;66;11;4;8;20;30;1;3
9     62. el Congrés i els Indians;9;62;el Congrés i els Indians;14549;12789;12113;232;52;25;66;32;72;29;48;19;2;26;4;7;7;5;8;4;38;145;87;7;14;3;34;1124;183;150;142;142;58;32;106;75;9;52;18;23;54;33;22;7;10;8;488;39;274;3;25;14;72;29;7;3;8;4;10;3;0
9     63. Navas;9;63;Navas;22299;19466;18405;395;109;57;56;44;96;69;63;33;13;28;9;3;7;6;9;8;56;211;121;16;33;1;40;1645;219;129;193;290;112;82;169;72;23;123;44;29;44;31;19;29;22;15;974;104;601;23;35;0;63;46;30;9;8;8;47;0;3
10     64. el Camp de l'Arpa del Clot;10; 64;el Camp de l'Arpa del Clot;38838;33508;30473;1138;393;213;156;159;129;155;139;77;72;36;36;39;34;32;20;17;190;443;303;32;27;5;76;3301;412;196;445;415;300;216;289;178;76;158;134;112;108;74;44;68;33;43;1564;237;758;69;88;51;132;40;28;30;36;16;79;13;9
10     65. el Clot;10; 65;el Clot;26759;23881;22049;700;188;119;89;76;130;127;81;61;33;36;12;19;13;12;9;10;117;386;287;25;16;9;49;1646;169;113;193;210;183;121;108;75;47;83;91;55;90;34;14;28;9;23;839;163;461;23;28;8;45;11;15;6;19;8;52;4;3
10     66. el Parc i la Llacuna del Poblenou;10; 66;el Parc i la Llacuna del Poblenou;15914;13966;12028;677;219;170;108;111;82;61;61;61;51;39;43;31;26;24;12;22;140;288;158;22;11;16;81;1001;96;48;94;83;123;127;32;43;76;29;43;62;58;17;25;19;1;25;646;72;334;29;36;5;41;7;20;2;27;6;67;5;8
10     67. la Vila Olímpica del Poblenou;10; 67;la Vila Olímpica del Poblenou;9395;8783;7476;354;196;106;93;114;34;54;34;51;44;20;22;17;17;16;17;8;110;36;27;0;2;1;6;385;43;8;19;22;55;73;7;13;64;3;17;24;4;3;4;11;0;15;179;29;64;3;15;0;5;0;8;0;15;5;35;9;3
10     68. el Poblenou;10; 68;el Poblenou;34411;31241;26855;1450;618;445;250;319;120;158;101;97;134;61;97;89;47;40;46;29;285;256;157;11;41;2;45;1741;178;88;225;88;304;206;81;64;150;22;85;84;57;31;9;20;2;47;1139;369;398;24;74;11;34;27;16;2;53;16;115;31;3
10     69. Diagonal Mar i el Front Marítim del Poblenou;10; 69;Diagonal Mar i el Front Marítim del Poblenou;13536;12423;10601;401;179;140;320;120;81;70;102;39;66;30;45;24;18;13;23;15;136;143;75;24;4;2;38;581;60;7;72;26;79;104;15;17;62;12;12;37;12;18;1;17;2;28;379;67;134;5;24;0;14;7;8;0;19;45;56;8;2
10     70. el Besòs i el Maresme;10; 70;el Besòs i el Maresme;26116;18556;16820;294;56;57;325;36;339;74;302;38;20;43;8;7;4;6;8;5;114;1335;712;86;419;4;114;2202;324;441;272;210;97;108;149;160;20;116;53;32;38;39;76;12;33;22;4017;2812;466;30;253;62;124;37;3;126;12;30;62;2;4
10     71. Provençals del Poblenou;10; 71;Provençals del Poblenou;21185;19003;17406;466;141;82;148;89;119;85;116;59;45;36;15;19;20;19;20;15;103;355;229;56;30;10;30;1132;145;96;174;115;107;79;59;64;42;54;39;37;47;29;9;11;9;16;683;212;232;9;79;2;42;28;10;3;15;12;39;6;6
10     72. Sant Martí de Provençals;10; 72;Sant Martí de Provençals;26229;23288;22206;332;63;38;99;35;132;64;119;28;15;42;12;11;8;10;12;4;58;191;121;14;11;9;36;1464;197;148;142;213;91;84;111;101;19;123;56;23;54;32;9;28;19;14;1282;137;861;44;57;7;58;49;14;12;4;6;33;1;3
10     73. la Verneda i la Pau;10; 73;la Verneda i la Pau;28798;25425;24384;274;63;16;123;22;156;37;140;33;4;41;2;8;6;6;3;2;105;292;169;25;48;1;49;1752;199;193;172;290;88;88;138;148;11;145;42;16;80;25;35;34;33;15;1323;195;790;28;74;12;84;54;5;34;4;8;35;3;3
