COM,LIBCOM,DEC_PIMP19,DEC_TP6019,DEC_Q119,DEC_MED19,DEC_Q319,DEC_EQ19,DEC_D119,DEC_D219,DEC_D319,DEC_D419,DEC_D619,DEC_D719,DEC_D819,DEC_D919,DEC_RD19,DEC_S80S2019,DEC_GI19,DEC_PACT19,DEC_PTSA19,DEC_PCHO19,DEC_PBEN19,DEC_PPEN19,DEC_PAUT19,DEC_NOTE19
93066,Saint-Denis,NA,NA,7229.2307692307695,13478.205128205129,21900.76923076923,1.0835897435897437,2529.74358974359,5883.333333333333,8409.74358974359,10846.923076923076,16394.615384615383,19903.076923076922,24372.5641025641,31450,14.784615384615385,14.353846153846154,0.4102820512820513,81.02307692307693,NA,NA,NA,17.092307692307692,1.8846153846153846,0
93070,Saint-Ouen-sur-Seine,NA,NA,9180.555555555555,16909.444444444445,27474.444444444445,1.0822222222222222,3465.5555555555557,7496.666666666667,10657.222222222223,13767.222222222223,20541.666666666668,24746.666666666668,30685,39819.444444444445,18.27777777777778,14.516666666666667,0.4196111111111111,81.13333333333334,72.81111111111112,5.088888888888889,3.2333333333333334,16.41111111111111,2.4555555555555557,0
93071,Sevran,NA,NA,8965.238095238095,14990.952380952382,22300,0.9061904761904762,4157.142857142857,7590,10229.52380952381,12602.380952380952,17638.095238095237,20538.571428571428,24454.285714285714,30293.809523809523,8.39047619047619,9.623809523809523,0.36133333333333334,77.06190476190476,NA,NA,NA,21.1,1.8380952380952382,0
93072,Stains,NA,NA,6533.333333333333,12586,19627.333333333332,1.0513333333333332,2075.3333333333335,5360.666666666667,7896,10122.666666666666,15034,17960.666666666668,21540,26927.333333333332,NA,16.04,0.3943333333333333,77.86666666666666,NA,NA,NA,20.68,1.4533333333333334,0
93073,Tremblay-en-France,NA,NA,13396.153846153846,20179.23076923077,27923.846153846152,0.7453846153846154,7743.846153846154,11889.23076923077,14863.846153846154,17664.615384615383,22807.69230769231,26082.30769230769,30165.384615384617,36414.61538461538,5.130769230769231,6.2846153846153845,0.3132307692307692,75.73846153846154,NA,NA,NA,21.576923076923077,2.684615384615385,0
93077,Villemomble,NA,NA,14289.166666666666,23418.333333333332,33717.5,0.845,7120,12062.5,16219.166666666666,20020.833333333332,26950.833333333332,31031.666666666668,36645,46390.833333333336,7.041666666666667,8.833333333333334,0.36233333333333334,75.31666666666666,68.59166666666667,3.25,3.475,19.95,4.733333333333333,0
93078,Villepinte,NA,NA,10552.666666666666,16623.333333333332,24039.333333333332,0.826,5446.666666666667,9086,11797.333333333334,14117.333333333334,19275.333333333332,22212,26176,32108.666666666668,7.233333333333333,8.093333333333334,0.345,78.59333333333333,NA,NA,NA,19.46,1.9466666666666665,0
93079,Villetaneuse,43.78,49.6,7668,13008,19646,0.922,3738,6562,8884,10990,15116,17928,21674,27344,7.9,9.38,0.363,78.98,72.54,5.0200000000000005,1.42,19.62,1.4,0
94002,Alfortville,61.95333333333333,28.68,12355.333333333334,21286.666666666668,32130.666666666668,0.9420000000000001,5615.333333333333,10276.666666666666,14184,17680.666666666668,25146,29523.333333333332,35067.333333333336,43798.666666666664,8.473333333333333,9.98,0.37146666666666667,80.55333333333333,74.13333333333333,3.8,2.62,16.3,3.1466666666666665,0
94003,Arcueil,65.73333333333333,25.011111111111113,13563.333333333334,23333.333333333332,34545.555555555555,0.9066666666666667,6812.222222222223,11398.888888888889,15438.888888888889,19254.444444444445,27573.333333333332,31733.333333333332,37853.333333333336,47952.22222222222,7.411111111111111,9.366666666666667,0.3725555555555556,78.41111111111111,72.15555555555555,3.1222222222222222,3.1333333333333333,18.244444444444444,3.3444444444444446,0
94004,Boissy-Saint-Léger,60.06666666666666,30.666666666666668,12280,19515,27983.333333333332,0.835,6488.333333333333,10711.666666666666,13646.666666666666,16658.333333333332,22653.333333333332,26050,30348.333333333332,37251.666666666664,6.333333333333333,7.6,0.33916666666666667,77.63333333333333,71.91666666666667,3.533333333333333,2.183333333333333,20.233333333333334,2.1333333333333333,0.16666666666666666
94011,Bonneuil-sur-Marne,NA,NA,10595.714285714286,17107.14285714286,25204.285714285714,0.86,5207.142857142857,9120,11902.857142857143,14488.57142857143,19868.571428571428,23108.571428571428,27248.571428571428,33295.71428571428,6.671428571428572,8.114285714285714,0.3447142857142857,76.11428571428571,NA,NA,NA,21.9,1.9857142857142858,0.14285714285714285
94015,Bry-sur-Marne,NA,NA,21031.666666666668,32638.333333333332,46373.333333333336,0.7783333333333333,12216.666666666666,18463.333333333332,23403.333333333332,27996.666666666668,37221.666666666664,42693.333333333336,50811.666666666664,65895,5.466666666666667,6.883333333333334,0.3471666666666667,74.78333333333333,67.78333333333333,2.083333333333333,4.916666666666667,18.983333333333334,6.233333333333333,0
94016,Cachan,NA,NA,16194.545454545454,26181.81818181818,37481.818181818184,0.8309090909090909,8466.363636363636,13929.09090909091,18207.272727272728,22289.090909090908,30112.727272727272,34877.27272727273,40661.818181818184,51072.72727272727,6.481818181818182,8.00909090909091,0.3517272727272727,77.16363636363636,71.31818181818181,2.827272727272727,3.018181818181818,18.990909090909092,3.8454545454545457,0
